PO. Date,PO No.,FG Code,Item Code,Description,PO Qty,TOTAL DISPATCH,Pending Qty,ETA,DISPATCH TODAY,CARTON STOCK
10/5/2024,103,19251,13126,Carton LuvLap Diaper Pants-Small-1's X200 packs,300,300,0,19/7/2024,300,30
10/5/2024,,56100,,Carton KareIn Premium AD Pants XL-10 X 6's Packs,300,300,0,15/5/2024,,
10/5/2024,,56032,,Carton KareIn Premium AD Pants Large-10 X 3's Packs,900,900,0,15/5/2024,,
10/5/2024,,56110,,KareIn Overnight AD Pants L10X3,200,200,0,15/5/2024,,
10/5/2024,,56073,,Carton KareIn Classic AD Pants Large-10 X 6's Packs,900,900,0,15/5/2024,,
10/5/2024,,19554,,Carton LuvLap Diaper Pants-Small 120's X 2 packs,200,200,0,20/5/2024,,0
17/5/2024,131,,,Carton Ezimom M-L 10X12,220,220,0,45442,,
17/5/2024,131,,,Carton Ezimom L-XL 10X12,220,220,0,45442,,
22/5/2024,152,19554,13406,Carton LuvLap Diaper Pants-Small 120's X 2 packs,200,200,0,28/5/2024,,0
23/5/2024,151,19307,13196,Carton Evereve Period Panties S-M-5's X 24 Packs,500,,500,As per REQUIRE,,500
23/5/2024,151,19308,13197,Carton Evereve Period Panties M-L-5's X 24 Packs,1000,,1000,As per REQUIRE,,1000
23/5/2024,151,19309,13198,Carton Evereve Period Panties L-XL-5's X 24 Packs,1000,,1000,As per REQUIRE,,1000
23/5/2024,151,19310,13199,Carton Evereve Period Panties S-M-10's X 12 Packs,500,360,140,2/7/2024,360,840
23/5/2024,151,19311,13200,Carton Evereve Period Panties M-L-10's X 12 Packs,1200,460,740,2/7/2024,460,740
23/5/2024,151,19312,13201,Carton Evereve Period Panties L-XL-10's X 12 Packs,1500,1647,-147,3/7/2024,640,0
23/5/2024,151,19581,13428,"Carton Evereve Period Panties, M-L 5's (Buy 1 Get 1 Free)",500,500,0,As per REQUIRE,,0
23/5/2024,151,19584,13431,"Carton Evereve Period Panties, L-XL 5's (Buy 1 Get 1 Free)",1500,1460,40,As per REQUIRE,,0
23/5/2024,151,19579,13426,"Carton Evereve Period Panties, S-M 10's (Buy 1 Get 1 Free)",300,720,-420,3/7/2024,240,0
23/5/2024,151,19582,13429,"Carton Evereve Period Panties, M-L 10's (Buy 1 Get 1 Free)",750,750,0,As per REQUIRE,,0
23/5/2024,151,19585,13432,"Carton Evereve Period Panties, L-XL 10's (Buy 1 Get 1 Free)",1800,1790,10,28/6/2024,,0
23/5/2024,151,19578,13425,"Carton Evereve Period Panties, S-M 5's (Buy 1 Get 1 Free)",300,100,200,2/7/2024,100,400
23/5/2024,151,56090,13051,Cartoon KareIn Overnight AD-XL10 (Pack Of  12),300,,300,As per REQUIRE,,
23/5/2024,151,56088,13045,Cartoon KareIn Overnight AD-M10 (Pack Of 12),300,,300,As per REQUIRE,,
23/5/2024,151,56089,13048,Cartoon KareIn Overnight AD-L10 (Pack Of 12),300,315,-15,13/7/2024,315,0
23/5/2024,154,93024,13032,Carton Box KareMed Classic AD-XL10 (Pack of 6),800,200,600,27/6/2024,,600
23/5/2024,154,93023,13031,Carton Box KareMed Classic AD-XL10 (Pack of 3),1200,500,700,4/7/2024,500,700
23/5/2024,154,93022,13030,Carton Box KareMed Classic AD-XL10 (Pack of 2),600,,600,As per REQUIRE,,600
23/5/2024,154,93019,13037,Carton Box KareMed Classic AD-L10 (Pack of 6),800,240,560,3/7/2024,240,
23/5/2024,154,93011,13024,Carton Box KareMed Classic AD-L10 (Pack of 2),600,400,200,3/7/2024,400,200
23/5/2024,154,93014,13023,Carton Box KareMed Classic AD-L10  (Pack of 3),1200,1200,0,2/7/2024,100,0
23/5/2024,154,93017,13022,Carton Box KareMed Classic AD M10 (Pack of 6),800,,800,As per REQUIRE,,
23/5/2024,154,93013,13028,Carton Box KareMed Classic AD M10 (Pack of 3),1200,,1200,As per REQUIRE,,
23/5/2024,154,93010,13027,Carton Box KareMed Classic AD M10 (Pack of 2),600,400,200,As per REQUIRE,,
23/5/2024,154,56086,13052,Cartoon KareIn  Overnight AD-XL10 (Pack Of 3),300,,300,As per REQUIRE,,
23/5/2024,154,56083,13047,Cartoon KareIn  Overnight AD-M10 (Pack Of 6),300,,300,As per REQUIRE,,
23/5/2024,154,56082,13046,Cartoon KareIn  Overnight AD-M10 (Pack Of 3),300,,300,As per REQUIRE,,
23/5/2024,154,56085,13050,Cartoon KareIn  Overnight AD-L10 (Pack Of 6),300,180,120,27/6/2024,,
23/5/2024,154,56084,13049,Cartoon KareIn  Overnight AD-L10 (Pack Of 3),300,,300,As per REQUIRE,,
23/5/2024,154,56087,13053,Cartoon KareIn  Overnight AD-XL10 (Pack Of 6),300,,300,As per REQUIRE,,
